Feature,F-stat,p-value,Significant Shift (p<0.05),Core Feature (comparable across datasets)
Mean Letter Height,12041.082069113123,0.0,True,True
Std Letter Height,26191.757361826018,0.0,True,False
Mean Letter Width,16244.979533108783,0.0,True,True
Std Letter Width,53478.92350863229,0.0,True,False
Height Coeff. of Variation,11446.47976110047,0.0,True,False
Proportion Consistency Std,6882.872452272176,0.0,True,False
Letter Spacing,985.592963540329,0.0,True,False
Word Spacing,11881.030680445834,0.0,True,False
Total Stroke Length,36265.85900518564,0.0,True,False
Corner Count,439106.8918552497,0.0,True,False
Corner Density,1157.2786813192388,0.0,True,True
Num Components,76567.73000318979,0.0,True,False
Total Ink Area,27439.944643326537,0.0,True,False
Component Density,1684.5917830714513,0.0,True,True
Baseline Regularity Std,62383.57193103624,0.0,True,False
Vertical Regularity Std,26191.757361826018,0.0,True,False
Margin Alignment Std,161649.87121694422,0.0,True,False
Slant Angle (deg),1530.6074263470002,0.0,True,True
