Dataset,Model,CV Accuracy,Accuracy,F1 Score,Precision,Recall,AUC
Gambo,Random Forest,0.8058,0.8003,0.6752,0.7376,0.6225,0.8619
Gambo,Gradient Boosting,0.8,0.794,0.6697,0.7193,0.6265,0.8603
Gambo,SVM (RBF),0.7632,0.7487,0.682,0.5897,0.8085,0.8377
Gambo,KNN,0.7875,0.7807,0.6564,0.6869,0.6285,0.8181
Gambo,Logistic Regression,0.5946,0.5847,0.4729,0.4098,0.559,0.6343
dysgraphia_patients,Random Forest,0.7659,0.8099,0.858,0.8343,0.883,0.8255
dysgraphia_patients,Gradient Boosting,0.7536,0.7909,0.8415,0.8295,0.8538,0.8129
dysgraphia_patients,SVM (RBF),0.7697,0.7529,0.7988,0.8487,0.7544,0.8187
dysgraphia_patients,KNN,0.7602,0.749,0.8081,0.8035,0.8129,0.7842
dysgraphia_patients,Logistic Regression,0.7478,0.7605,0.8119,0.8293,0.7953,0.7981
mendeley,Random Forest,0.8444,0.8554,0.8393,0.8545,0.8246,0.9406
mendeley,Gradient Boosting,0.8323,0.8474,0.8273,0.8585,0.7982,0.9256
mendeley,SVM (RBF),0.8333,0.8434,0.8282,0.8319,0.8246,0.8962
mendeley,KNN,0.8002,0.7751,0.7407,0.7843,0.7018,0.8547
mendeley,Logistic Regression,0.7852,0.8072,0.7757,0.83,0.7281,0.8712
